# Darktide Penance Export
# Mod Version: 2.4.9
# Account: John Darktide
# Account ID: 00000000-0000-0000-0000-000000000000
# Platform: Steam
# Number of Characters: 5
# Account Level: 150
# Account True Level: 601
# Account Prestige: 37
#
# All Characters:
#   1. Bonk (Ogryn) - Level 30 (True: 103, Prestige: 6)
#   2. Dickot (Zealot) - Level 30 (True: 132, Prestige: 8)
#   3. JudgeSomething (Arbitrator) - Level 30 (True: 145, Prestige: 9)
#   4. Rudge (Veteran) - Level 30 (True: 45, Prestige: 2)
#   5. Montov (Psyker) - Level 30 (True: 176, Prestige: 12)
#
# Export Character: Rudge
# Export Archetype: Veteran
# Export Character Level: 30
# Export Character True Level: 45
# Export Additional Levels: +15
# Export Character Prestige: 2
#
# Export Date: 2026-01-26 16:12:01
# Export Timezone: -0500
# Total Penances: 1028
# Completed Penances: 884
# Completion Rate: 86.0%

Export_Account,Export_Platform,Export_Character,Export_Archetype,Export_Mod_Date,Achievement_ID,Category,Icon,Title,Description,Status,Progress,Goal,Progress_Percentage,Completion_Time,Score,Stats_Detail,Mastery_Level,Mastery_XP,Mastery_XP_Next_Level,Mastery_Progress_Percent
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_elite_weakspot_kills_during_volley_fire_alternate_fire,loc_class_abilities_title,content/ui/textures/icons/achievements/achievement_icon_0018,Deadeye,"On Heresy Threat or higher, during a single use of Volley Fire, kill 5 highlighted enemies with Weak Spot hits whilst using a weapon's Secondary Action.",Completed,10,5,200%,2026-01-06 13:09:26,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_unbounced_grenade_kills,loc_class_abilities_title,content/ui/textures/icons/achievements/achievement_icon_0014,Long Bomb,Hit 5 enemies with a Frag Grenade without it bouncing.,Completed,0,1,0%,2026-01-10 00:07:54,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_weakspot_hits_during_volley_fire_alternate_fire,loc_class_abilities_title,content/ui/textures/icons/achievements/achievement_icon_0015,Marked For Death,"During a single use of Volley Fire, hit enemy Weak Spots 4 times using a weapon's Secondary Action, without missing a shot.",Completed,4,4,100%,2026-01-12 22:04:12,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_hard_1,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_07,Find your Targets,"On Heresy Threat or higher, kill 2 Elite or Specialist enemies during a single Volley Fire, 50 times.",Completed,197,50,394%,2026-01-09 02:47:01,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_hard_2,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_08,Be Methodical,"On Heresy Threat or higher, keep Volley Fire active for over 20 seconds 5 times.",Completed,29,5,580%,2026-01-09 23:33:17,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_medium_1,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_05,Stay Alert,"On Malice Threat or higher, kill 150 enemies that have been marked by Executioner's Stance.",Completed,1317,150,877%,2026-01-09 02:24:46,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_2_easy_2,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_04,Resupply Allies,Replenish 5000 total ammunition to allies using Scavenger.,Completed,5297,5000,105%,2026-01-16 21:21:21,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_team_movement_aura_amplified,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_16,Keep it Tight,Move a total of 10000 meters in coherency with your team members while under the effect of Close and Kill.,Completed,160935,10000,1609%,2026-01-22 00:51:24,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_team_damage_aura_amplified,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_15,Sweep and Clear,Kill 7500 enemies while affected by Fire Team. Kills made by any affected team member also count.,Completed,47077,7500,627%,2026-01-05 23:39:02,10,,,,,
John Darktide,Steam,Rudge,Veteran,2026-01-26 16:12:01,veteran_weapon_switch_passive_keystone_kills,loc_class_abilities_title,content/ui/textures/icons/achievements/class_achievements/class_veteran_achievement_21,Adept Assassin,Kill 250 Specialists or Elites with critical weakspot hits while Weapons Specialist is active,In Progress,145,250,57%,,10,,,,,
