# Darktide Penance Export
# Account: John Darktide
# Account ID: 00000000-0000-0000-0000-000000000000
# Platform: Steam
# Number of Characters: 6
# Account Level: 180
# Account True Level: 837
#
# All Characters:
#   1. Dickot (Zealot) - Level 30 (True: 157, +127)
#   2. Zek (Hive Scum) - Level 30 (True: 113, +83)
#   3. Bonk (Ogryn) - Level 30 (True: 145, +115)
#   4. JudgeSomething (Arbitrator) - Level 30 (True: 121, +91)
#   5. Rudge (Veteran) - Level 30 (True: 164, +134)
#   6. Montov (Psyker) - Level 30 (True: 137, +107)
#
# Export Character: Dickot
# Export Archetype: Zealot
# Export Character Level: 30
# Export Character True Level: 157
# Export Additional Levels: +127
# Export Prestige: 10
#
# Export Date: 2026-01-18 10:39:38
# Total Penances: 1028
# Completed Penances: 1000
# Completion Rate: 97.3%

Export_Account,Export_Platform,Export_Character,Export_Archetype,Export_Mod_Date,Achievement_ID,Category,Icon,Title,Description,Status,Progress,Goal,Progress_Percentage,Completion_Time,Score,Stats_Detail
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,team_chaos_beast_of_nurgle_slain_no_corruption,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0124,Bless you,Kill a Beast of Nurgle without any team member being hit by its corrupting vomit.,Completed,153,1,15300%,2024-05-19 02:23:29,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,team_chaos_spawned_killed_no_players_grabbed,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0127,"Stay back, fiend!",Kill a Chaos spawn without any team member getting grabbed.,Completed,266,1,26600%,2024-05-07 00:35:59,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,flamer_killed_before_attack_occurred,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0134,Snuff Out the Candle,Kill 50 Dreg or Scab Flamers before they have the chance to use their ability.,Completed,1318,50,2636%,2025-04-13 02:25:42,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,grenadier_killed_before_attack_occurred,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0137,Implosion,Kill 50 Dreg or Scab Bombers before they have the chance to use their ability.,Completed,779,50,1558%,2025-07-06 00:06:15,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,team_poxburster_damage_avoided,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0136,They're Gonna' Blow!,Kill 50 Poxbursters without you or any team members taking damage.,Completed,18277,50,36554%,2024-05-19 20:09:21,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,ogryn_gunner_shot_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0142,That the Best You've Got?,Dodge 500 Ogryn Reapers shots while sprinting.,Completed,1544,500,308%,2025-09-19 23:58:34,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,cultist_gunner_shot_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0133,Make a Dash For It,Dodge 500 Gunner shots while sprinting.,Completed,11695,500,2339%,2025-03-28 03:43:28,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,bulwark_backstab_damage_inflicted,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0141,Didn't See You Coming,Deal 25000 damage to Ogryn Bulwarks using backstab.,Completed,1197922,25000,4791%,2025-07-06 19:25:58,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,renegade_sniper_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0138,Sharp Reflexes,"Dodge 50 Sniper shots.
[Counts only once per Sniper]",Completed,960,50,1920%,2025-07-06 18:05:05,10,
John Darktide,Steam,Dickot,Zealot,2026-01-18 10:39:38,crusher_overhead_smash_dodged,loc_achievement_category_heretics_label,content/ui/textures/icons/achievements/achievement_icon_0140,Avoid the Chop,"Dodge 50 Ogryn Crusher overhead smashes.
[Counts only once per Ogryn Crusher]",Completed,524,50,1048%,2025-07-19 20:32:52,10,
